Code,Title,Season,Rating Mean,Episode Max,Rating,Rating Count,Rank
tt0096697,The Simpsons,7,8.392000000000001,25,8.7,"331,355",65
tt0306414,The Wire,3,8.391666666666664,12,9.3,"243,004",7
tt1606375,Downton Abbey,3,8.38888888888889,9,8.6,"141,133",93
tt0096697,The Simpsons,6,8.388,25,8.7,"331,355",65
tt0121955,South Park,9,8.385714285714288,14,8.7,"298,965",70
tt1586680,Shameless,9,8.385714285714286,14,8.6,"169,404",119
tt4295140,Chef's Table,2,8.383333333333333,6,8.6,"10,387",131
tt0083390,Brideshead Revisited,1,8.381818181818183,11,8.5,"5,899",172
tt0161952,Seinto Seiya,2,8.380769230769234,26,8.5,"7,711",133
tt5189670,Making a Murderer,2,8.379999999999999,10,8.6,"76,578",105
tt0436992,Doctor Who,4,8.378571428571428,14,8.6,"183,130",125
tt1119644,Fringe,2,8.378260869565219,23,8.3,"206,035",244
tt0804503,Mad Men,6,8.376923076923077,13,8.6,"179,094",116
tt0063929,Monty Python's Flying Circus,2,8.376923076923076,13,8.8,"59,120",36
tt0248654,Six Feet Under,1,8.376923076923076,13,8.6,"109,974",86
tt4270492,Billions,1,8.375000000000002,12,8.3,"53,610",245
tt7767422,Sex Education,1,8.375,8,8.3,"60,810",246
tt0106179,The X-Files,6,8.372727272727273,22,8.6,"182,182",91
tt0108778,Friends,1,8.370833333333332,24,8.8,"665,928",39
tt0417299,Avatar: The Last Airbender,1,8.37,20,9.1,"187,864",15
